Company Name,Address,City,State,Zip,County,Phone Number,Fax Number,Company Contact,Contact Title,Employees,Revenue,Industry,SIC Code,SIC Code Description,Website
Trend Setters,2035 Black Rock Tpke # 2,Fairfield,CT,06825-3510,Fairfield,Not in Sample,Not in Sample,Kim Striebe,Owner,13,573300,Personal Services (Services),7231,Beauty Shops,www.trendsetters.com
Landmark Office Systems Inc,65 High Ridge Rd # 333,Stamford,CT,06905-3800,Fairfield,Not in Sample,Not in Sample,Jeff Orloch,Owner,14,1995120,Business Services (Services),7378,Computer Maintenance And Repair,www.landmark.com
Prime Technology LLC,344 Twin Lakes Rd,North Branford,CT,06471-1283,New Haven,Not in Sample,Not in Sample,Andrew Sadlon,President,49,11088000,"Electrical, Electronic and Components other than Computer Equipment (Equipment)",3625,Relays And Industrial Controls,www.primetechnology.com
Bruegger's Bagels Bakery,1 Whitney Ave,New Haven,CT,06510-1219,New Haven,Not in Sample,Not in Sample,Andrew Fleischer,Manager,18,865200,Food Stores (Food),5461,Retail Bakeries,www.brueggers.com
New England Stair Co,1 White St,Shelton,CT,06484-3117,Fairfield,Not in Sample,Not in Sample,William J Sylvia,President,45,8075000,Wood and Lumber Products other than Furniture (Products),2431,Millwork,www.newenglandstair.com
Toquam School,123 Ridgewood Ave,Stamford,CT,06907-2600,Fairfield,Not in Sample,Not in Sample,Eileen L Swerdlick,Principal,56,0,Educational Services (Services),8211,Elementary And Secondary Schools,www.toquamschool.org
Danbury Hospital Pathology,24 Hospital Ave,Danbury,CT,06810-6077,Fairfield,Not in Sample,Not in Sample,Jeanne Juliano,Manager,21,6161000,Health Services (Services),8011,Offices And Clinics Of Medical Doctors,www.danburyhospital.org
Paintcraft LLC,36 Balmforth Ave,Danbury,CT,06810-5934,Fairfield,Not in Sample,Not in Sample,William J Shea,Owner,5,448050,Construction - Special Trade Contractors (Construction),1721,Painting And Paper Hanging,www.paintcraftllc.com
St Paul's On The Green,60 East Ave,Norwalk,CT,06851-4909,Fairfield,Not in Sample,Not in Sample,Nicholas Lang,Religious Leader,7,0,Membership Organizations (Organizations),8661,Religious Organizations,www.stpaulsnorwalk.org
Touch Of Europe,291 Post Rd E,Westport,CT,06880-3613,Fairfield,Not in Sample,Not in Sample,Mikle Muller,Owner,3,262080,Miscellaneous Retail (Stores),5947,"Gift, Novelty, And Souvenir Shop",www.touchofeurope.com
Productivity Inc,100 Commerce Dr # 120,Shelton,CT,06484-6255,Fairfield,Not in Sample,Not in Sample,Michael Kuta,Owner,11,2448000,"Engineering, Management, Accounting, Research and Related Industries (Services)",8742,Management Consulting Services,www.productivityinc.com
Brodie Group Inc,85 Willow St,New Haven,CT,06511-2668,New Haven,Not in Sample,Not in Sample,Bill Brodie,Owner,7,2143700,Business Services (Services),7373,Computer Integrated Systems Design,www.brodiegroup.com
Meriden Public Schools,22 Liberty St,Meriden,CT,06450-5609,New Haven,Not in Sample,Not in Sample,Mary N Cortright,Administrator,63,0,Educational Services (Services),8211,Elementary And Secondary Schools,www.meriden.k12.ct.us
C W Resources,40 Falls Ave,Waterbury,CT,06708-1054,New Haven,Not in Sample,Not in Sample,Ron Bachelo,Manager,18,0,Social Services (Services),8322,Individual And Family Services,www.cwresources.org
Sarov Press,2083 Main St,Stratford,CT,06615-6341,Fairfield,Not in Sample,Not in Sample,Philip Trahan,Owner,2,531560,"Publishing, Allied and Printing Industries (Industries)",2741,Miscellaneous Publishing,www.sarovpress.com
Johnston Modeling Agency,50 Washington St # 6,Norwalk,CT,06854-2749,Fairfield,Not in Sample,Not in Sample,Esther Johnston,Owner,3,85500,Business Services (Services),7363,Help Supply Services,www.johnstonagency.com
Franklin Philip Tan & Salon,250 Westport Ave,Norwalk,CT,06851-4158,Fairfield,Not in Sample,Not in Sample,Franklin Philip,Owner,3,118170,Personal Services (Services),7231,Beauty Shops,www.franklinphilip.com
Holberg Industries Inc,545 Steamboat Rd # 1,Greenwich,CT,06830-7170,Fairfield,Not in Sample,Not in Sample,John V Holten,CEO,15,1258460,"Automotive Services, Parking and Repair (Automotive)",7521,Automobile Parking,www.holberg.com
U S Pharmaceuticals,65 Locust Ave,New Canaan,CT,06840-4759,Fairfield,Not in Sample,Not in Sample,Steve Rappaport,Manager,3,565470,Miscellaneous Retail (Stores),5912,Drug Stores And Proprietary Stores,www.uspharmaceuticals.com
Jozes Custom Ironworks Inc,250 Smith St,Bridgeport,CT,06607-2219,Fairfield,Not in Sample,Not in Sample,Jozef Witkowski,Owner,12,2442240,Primary Metal Industries (Industries),3325,"Steel Foundries, Nec",www.jozef.net
Sweet Lisa's,3 Field Rd,Cos Cob,CT,06807-2302,Fairfield,Not in Sample,Not in Sample,Lisa Maronian,Owner,3,159600,Food Stores (Food),5461,Retail Bakeries,www.sweetlisas.com
James Ippolito & Co,1069 Connecticut Ave,Bridgeport,CT,06607-1239,Fairfield,Not in Sample,Not in Sample,Jerry Cavallo,Owner,29,3198000,Commercial and Industrial Machinery and Computer Equipment (Equipment),3599,"Industrial Machinery, Nec",www.jamesippolito.com
Bio Logic Inc,115 Obtuse Hill Rd,Brookfield,CT,06804-3223,Fairfield,Not in Sample,Not in Sample,Lawrence Miller,Owner,1,229500,"Engineering, Management, Accounting, Research and Related Industries (Services)",8748,"Business Consulting, Nec",www.biologicconsulting.com
Focus Mailing,2 Great Pasture Rd,Danbury,CT,06810-8128,Fairfield,Not in Sample,Not in Sample,Robert Cox,Owner,39,5023200,Business Services (Services),7331,Direct Mail Advertising Services,www.focusmailing.com
Devil's Gear LLC,433 Chapel St,New Haven,CT,06511-5830,New Haven,Not in Sample,Not in Sample,Matthew J Feiner,Owner,2,290080,Miscellaneous Retail (Stores),5941,Sporting Goods And Bicycle Shops,www.thedevilsgear.com
Standard Tile/Tile America,760 Kings Hwy E,Fairfield,CT,06825-5416,Fairfield,Not in Sample,Not in Sample,John Osborne,Manager,7,1125200,Construction - Special Trade Contractors (Construction),1743,"Terrazzo, Tile, Marble And Mossaic Work",www.tileamerica.com
Connecticut Voices-Children,33 Whitney Ave,New Haven,CT,06510-1295,New Haven,Not in Sample,Not in Sample,Susan Kim,Manager,14,0,Social Services (Services),8399,"Social Services, Nec",www.ctkidslink.org
Doc's Motorcycle Parts Inc,1625 Thomaston Ave,Waterbury,CT,06704-1026,New Haven,Not in Sample,Not in Sample,Doc D'Occhio,Owner,13,4011720,Gasoline Service Stations and Automotive Dealers (Automotive),5571,Motorcycle Dealers,www.docsmc.com
Stamford Municipal Employee CU,888 Washington Blvd,Stamford,CT,06901-2902,Fairfield,Not in Sample,Not in Sample,Vincent Fratarcangeli,CEO,14,0,"Legislative, Executive and General Government other than Finance (Government)",9121,Legislative Bodies,www.stamfordcu.org
St John The Baptist RC Church,782 Dixwell Ave,New Haven,CT,06511-1098,New Haven,Not in Sample,Not in Sample,John Keane,Religious Leader,5,0,Membership Organizations (Organizations),8661,Religious Organizations,www.sjbrcchurch.org
Harte Chevrolet Geo,341 S Broad St,Meriden,CT,06450-6646,New Haven,Not in Sample,Not in Sample,Robert Pizzi,Manager,44,26915200,Gasoline Service Stations and Automotive Dealers (Automotive),5511,New And Used Car Dealers,www.hartecars.com
Hama Japanese Restaurant,1206 Dixwell Ave,Hamden,CT,06514-4732,New Haven,Not in Sample,Not in Sample,Seikichi Muto,Manager,22,816000,Eating and Drinking Establishments (Food),5812,Eating Places,www.ilovehama.com
Curtis Brinckerhoff & Barrett,666 Summer St # 4,Stamford,CT,06901-1401,Fairfield,Not in Sample,Not in Sample,John Wayne Fox,Partner,19,3306600,Legal Services (Services),8111,Legal Services,www.curtisbb.com
Sears Hardware Store,852 N Colony Rd,Wallingford,CT,06492-2410,New Haven,Not in Sample,Not in Sample,Tom Levis,Manager,28,3792600,"Mobile Home Dealers, Garden Supply, Building Materials and Hardware (Construction)",5251,Hardware Stores,www.sears.com
U S COMPUTER Connection LLC,456 Glenbrook Rd,Stamford,CT,06906-1800,Fairfield,Not in Sample,Not in Sample,Garry Feldman,Owner,7,3511400,"Furnishing, Equipment and Home Furniture Stores (Stores)",5734,Computer And Software Stores,www.uscomputerconnection.com
Amistad America,746 Chapel St # 300,New Haven,CT,06510-3102,New Haven,Not in Sample,Not in Sample,Christopher Cloud,Manager,5,0,Social Services (Services),8399,"Social Services, Nec",www.amistadamerica.org
OCI Chemical Inc,2 Corporate Dr,Shelton,CT,06484-6238,Fairfield,Not in Sample,Not in Sample,Christopher Fraser,President,43,41241200,Wholesale Trade - Non-Durable Goods (Products),5169,"Chemicals And Allied Products, Nec",www.ocichemical.com
Engineering Specialties,20 Mcdermott Rd,Branford,CT,06405-2805,New Haven,Not in Sample,Not in Sample,Carmen Ciardiello,VP,22,3529200,Fabricated Metal Products other than Transport and Machinery Equipment (Equipment),3469,"Metal Stampings, Nec",www.esict.com
Rome Fastener Corp,257 Depot Rd,Milford,CT,06460-3804,New Haven,Not in Sample,Not in Sample,Stanley F Reiter,President,31,5050000,Fabricated Metal Products other than Transport and Machinery Equipment (Equipment),3469,"Metal Stampings, Nec",www.romefast.com
Palmero Health Care,120 Goodwin Pl,Stratford,CT,06615-6713,Fairfield,Not in Sample,Not in Sample,Ken Palmero,President,13,8790600,Wholesale Trade - Durable Goods (Products),5047,Medical And Hospital Equipment,www.palmerohealth.com
Fenrir Industries Inc,PO Box 2027,Stamford,CT,06906-0027,Fairfield,Not in Sample,Not in Sample,Robert Muller,President,11,1323100,Miscellaneous Manufacturing Industries (Industries),3999,"Manufacturing Industries, Nec",www.fenrir.com
Care Of Trees,201 Harvard Ave,Stamford,CT,06902-6305,Fairfield,Not in Sample,Not in Sample,Kevin Peters,Manager,11,848400,Agricultural Services (Services),783,Ornamental Shrub And Tree Services,www.thecareoftrees.com
Alexander Autographs Inc,100 Melrose Ave # 100,Greenwich,CT,06830-6277,Fairfield,Not in Sample,Not in Sample,Basil Panagopulos,Owner,4,787920,Miscellaneous Retail (Stores),5999,"Miscellaneous Retail Stores, Nec",www.alexautographs.com
Computer Payroll Svc,1297 Park Ave,Bridgeport,CT,06604-3063,Fairfield,Not in Sample,Not in Sample,Thomas Gabriel,Owner,2,692640,Wholesale Trade - Durable Goods (Products),5044,Office Equipment,www.computerpayroll.com
Daughters-Isabella Intl Cir,375 Whitney Ave,New Haven,CT,06511-2301,New Haven,Not in Sample,Not in Sample,Sharon Carlo,Manager,3,0,Membership Organizations (Organizations),8611,Business Associations,www.daughtersofisabella.org
Houle Psychology Clinic,1034 Main St N,Southbury,CT,06488-1268,New Haven,Not in Sample,Not in Sample,,,1,79540,Health Services (Services),8049,Offices Of Health Practitioner,www.drhoule.com
Hillel Academy,1571 Stratfield Rd # 1,Fairfield,CT,06825-1397,Fairfield,Not in Sample,Not in Sample,Mayer Beller,Principal,29,0,Educational Services (Services),8211,Elementary And Secondary Schools,www.hillelacademy.org
Mt Gideon Faith Fellowship Chr,363 Dixwell Ave,New Haven,CT,06511-1701,New Haven,Not in Sample,Not in Sample,Gary A Hyman,Religious Leader,2,0,Membership Organizations (Organizations),8661,Religious Organizations,www.mtgideon.org
My Place Restaurant,8 Queen St,Newtown,CT,06470-2122,Fairfield,Not in Sample,Not in Sample,Louise Tambasco,Owner,7,388000,Eating and Drinking Establishments (Food),5812,Eating Places,www.myplacepizza.com
Marketing Advantage,1200 High Ridge Rd,Stamford,CT,06905-1223,Fairfield,Not in Sample,Not in Sample,John Keon,Owner,11,1040300,"Engineering, Management, Accounting, Research and Related Industries (Services)",8732,Commercial Nonphysical Research,www.marketingadvantage.com
Narcotics Enforcement Officer,29 N Plains Industrial Hwy # 1,Wallingford,CT,06492-5838,New Haven,Not in Sample,Not in Sample,,,0,0,"Public Order, Safety and Justice (Government)",9221,Police Protection,www.neoa.org
Quest Resource Group,482 Summer St,Stamford,CT,06901-1305,Fairfield,Not in Sample,Not in Sample,Fred Dimyan,President,2,156800,Business Services (Services),7361,Employment Agencies,www.questrg.com
Derouin Floral Studio,1666 Litchfield Tpke,Woodbridge,CT,06525-2375,New Haven,Not in Sample,Not in Sample,Michael Derouin,Owner,5,333200,Miscellaneous Retail (Stores),5992,Florists,www.derouinfloral.com
Sono Travel Agency,25 S Main St,Norwalk,CT,06854-2946,Fairfield,Not in Sample,Not in Sample,Mario Gonzales,Owner,2,134900,Transportation Services (Services),4724,Travel Agencies,www.servicial.com
Sportsman's Den,33 River Rd,Cos Cob,CT,06807-2745,Fairfield,Not in Sample,Not in Sample,Mike Noyes,Owner,2,298960,Miscellaneous Retail (Stores),5941,Sporting Goods And Bicycle Shops,www.thesportsmansden.com
Specialty Components,14 Village Ln,Wallingford,CT,06492-2459,New Haven,Not in Sample,Not in Sample,Jan Hadarik,Owner,12,1353420,Commercial and Industrial Machinery and Computer Equipment (Equipment),3545,Machine Tool Accessories,www.specialtycomponents.com
Disc Corp,1011 High Ridge Rd,Stamford,CT,06905-1612,Fairfield,Not in Sample,Not in Sample,Michael Epstein,Owner,2,5817600,Wholesale Trade - Durable Goods (Products),5065,"Electronic Parts And Equipment, Nec",www.disc-corp.com
Harding Group,2 Sound View Dr,Greenwich,CT,06830-6471,Fairfield,Not in Sample,Not in Sample,Craig Harding,Owner,4,1591920,"Commodity and Security Brokers, Exchanges, Services and Dealers (Finance)",6211,Security Brokers And Dealers,www.hardinggrp.com
Home Technologies Inc,450 Monroe Tpke,Monroe,CT,06468-2343,Fairfield,Not in Sample,Not in Sample,Ron Blaszczynski,Owner,8,6448400,Wholesale Trade - Durable Goods (Products),5063,Electrical Apparatus And Equipment,www.hometechnologiesinc.com
Links Magazine Inc,880 Canal St # 2,Stamford,CT,06902-6968,Fairfield,Not in Sample,Not in Sample,Jack Purcell,Publisher,49,5643000,Miscellaneous Retail (Stores),5994,News Dealers And Newsstands,www.linksmagazine.com
Connecticut Hospital Assn,110 Barnes Rd,Wallingford,CT,06492-1802,New Haven,Not in Sample,Not in Sample,Jennifer Jackson,Manager,96,0,Membership Organizations (Organizations),8611,Business Associations,www.cthosp.org
AGISSAR,526 Benton St,Stratford,CT,06615-7351,Fairfield,Not in Sample,Not in Sample,,,29,6088500,Commercial and Industrial Machinery and Computer Equipment (Equipment),3579,"Office Machines, Nec",www.agissar.com
Emerson Industries Corp,335 Westport Ave,Norwalk,CT,06851-4311,Fairfield,Not in Sample,Not in Sample,Joseph D'Amato,Owner,5,1132800,Building Construction - Operative Builders and General Contractors (Construction),1521,Single-Family Housing Construction,www.emersonsolar.com
Neato LLC,250 Dodge Ave,East Haven,CT,06512-3305,New Haven,Not in Sample,Not in Sample,Peter Tracy,Owner,28,10393020,"Furnishing, Equipment and Home Furniture Stores (Stores)",5734,Computer And Software Stores,www.neato.com
Starbucks,1253 E Putnam Ave,Riverside,CT,06878-1522,Fairfield,Not in Sample,Not in Sample,Nicky Jackson,Manager,11,475200,Eating and Drinking Establishments (Food),5812,Eating Places,www.starbucks.com
Commercial Risk Re-Insurance,177 Broad St # 6,Stamford,CT,06901-2048,Fairfield,Not in Sample,Not in Sample,Brian Zell,Manager,5,1070880,"Insurance Brokers, Agents and Services (Insurance)",6411,"Insurance Agents, Brokers, And Service",www.commrisk.bm
Park City Ford,60 North Ave,Bridgeport,CT,06606-5131,Fairfield,Not in Sample,Not in Sample,Dave Flint,Owner,37,25103600,Gasoline Service Stations and Automotive Dealers (Automotive),5511,New And Used Car Dealers,www.parkcityford.com
South Central Rehabilitation,232 Cedar St,New Haven,CT,06519-1610,New Haven,Not in Sample,Not in Sample,Dan Iead,Manager,46,10320000,Social Services (Services),8399,"Social Services, Nec",www.hillhealthcenter.com
Beyond Components,101 N Plains Industrial Rd # 2,Wallingford,CT,06492-5835,New Haven,Not in Sample,Not in Sample,Wayne Tymosko,Manager,4,1858560,"Furnishing, Equipment and Home Furniture Stores (Stores)",5731,"Radio, Television, And Electronic Stores",www.beyondc.com
Pitney Bowes Distribution Ctr,11 Edmund Rd,Newtown,CT,06470-1632,Fairfield,Not in Sample,Not in Sample,Kenneth Paul,Executive Director,290,98571330,Wholesale Trade - Durable Goods (Products),5044,Office Equipment,www.pb.com
Connecticut Equine Practice,53 Mount Nebo Rd,Newtown,CT,06470-2412,Fairfield,Not in Sample,Not in Sample,Ned S Schankman,Owner,2,166320,Agricultural Services (Services),742,"Veterinary Services, Specialties",www.ctequine.com
Endleman Gallery,1014 Chapel St,New Haven,CT,06510-2402,New Haven,Not in Sample,Not in Sample,Sally Ann Endleman,Owner,5,764400,Miscellaneous Retail (Stores),5944,Jewelry Stores,www.endleman.com
Ameropean Corp,7 Corporate Dr # 108,North Haven,CT,06473-3257,New Haven,Not in Sample,Not in Sample,Donna Pruett,Manager,2,1850240,Wholesale Trade - Durable Goods (Products),5099,"Durable Goods, Nec",www.leatherbookmarks.com
Cort Furniture Rental,417 Shippan Ave # 2,Stamford,CT,06902-6010,Fairfield,Not in Sample,Not in Sample,Jim Mas,Manager,4,739320,Business Services (Services),7359,"Equipment Rental And Leasing, Nec",www.cort1.com
Orchard Hills School,185 Marino Dr,Milford,CT,06460-6799,New Haven,Not in Sample,Not in Sample,Kathleen Murphy,Principal,47,0,Educational Services (Services),8211,Elementary And Secondary Schools,www.milforded.org
Trader Joe's Co,400 Post Rd E,Westport,CT,06880-4402,Fairfield,Not in Sample,Not in Sample,John Pasnick,Manager,27,4641000,Food Stores (Food),5411,Grocery Stores,www.traderjoes.com
Three Bears Restaurant,333 Wilton Rd,Westport,CT,06880-1030,Fairfield,Not in Sample,Not in Sample,Rick Mastronardi,Owner,29,1188000,Eating and Drinking Establishments (Food),5812,Eating Places,www.thethreebears.com
Cobb's Mill Inn,12 Old Mill Rd,Weston,CT,06883-1542,Fairfield,Not in Sample,Not in Sample,Domenic Cocchia,Owner,16,768000,Eating and Drinking Establishments (Food),5812,Eating Places,www.cobbsmillinn.com
Empowering Writers,6515 Main St,Trumbull,CT,06611-1354,Fairfield,Not in Sample,Not in Sample,Dea Auray,Manager,7,1415040,Miscellaneous Services (Services),8999,"Services, Nec",www.empoweringwriters.com
Electric Services Inc,182 Commerce St,East Haven,CT,06512-4145,New Haven,Not in Sample,Not in Sample,Ian Green,President,0,0,Miscellaneous Repair Services (Services),7629,Electrical Repair Shops,www.electricservicesinc.com
All Copy,100 Mill Plain Rd # 347,Danbury,CT,06811-5189,Fairfield,Not in Sample,Not in Sample,Fred Nitsos,President,5,1681650,Wholesale Trade - Durable Goods (Products),5044,Office Equipment,www.allcopyllc.com
Keyholder Services-New Canaan,24 East Ave # 1134024,New Canaan,CT,06840-5529,Fairfield,Not in Sample,Not in Sample,Robert Thompson,Owner,5,3322900,Wholesale Trade - Durable Goods (Products),5063,Electrical Apparatus And Equipment,www.keyholderservices.com
Princeton Review,265a Post Rd W,Westport,CT,06880-4702,Fairfield,Not in Sample,Not in Sample,Merilee Bodell,Executive Director,7,929280,Educational Services (Services),8299,"Schools And Educational Services, Nec",www.princetonreview.com
Squires Metal Mfg,1969 Foxon Rd,North Branford,CT,06471-1509,New Haven,Not in Sample,Not in Sample,Walter L Wisting Sr,President,13,1769520,Construction - Special Trade Contractors (Construction),1711,"Plumbing, Heating, Air-Conditioning",www.squires.biz
Johnstone Co,222 Sackett Point Rd,North Haven,CT,06473-3160,New Haven,Not in Sample,Not in Sample,David R Johnstone,President,23,2940000,Fabricated Metal Products other than Transport and Machinery Equipment (Equipment),3441,Fabricated Structural Metal,www.johnstonecompany.com
Home Run Realty,2 Church St,North Haven,CT,06473-2503,New Haven,Not in Sample,Not in Sample,Billie Dalessio,Manager,19,2859560,Real Estate (Housing),6531,Real Estate Agents And Managers,www.slideintohome.com
Madmarc Designs Inc,175 Crest St,Waterbury,CT,06708-2836,New Haven,Not in Sample,Not in Sample,Madeleine Rinaldi,Owner,2,0,Miscellaneous Establishments,9999,Nonclassifiable Establishments,www.madmarc.com
Powell's Income Tax Svc,42 Waterbury Rd,Prospect,CT,06712-1238,New Haven,Not in Sample,Not in Sample,Raymond W Powell,Owner,12,6374400,"Commodity and Security Brokers, Exchanges, Services and Dealers (Finance)",6282,Investment Advice,www.powellsfinancial.com
Comfort Suites,89 Mill Plain Rd,Danbury,CT,06811-5133,Fairfield,Not in Sample,Not in Sample,Chetan Patel,Manager,19,1485000,"Camps, Rooming Houses, Hotels and Other Lodging Places (Lodging)",7011,Hotels And Motels,www.danburycomfortsuites.com
R Kids Inc,45 Dixwell Ave,New Haven,CT,06511-3403,New Haven,Not in Sample,Not in Sample,Randi Rubin,President,16,0,Social Services (Services),8322,Individual And Family Services,www.rkidsct.org
Visual Efx,700 Canal St,Stamford,CT,06902-5921,Fairfield,Not in Sample,Not in Sample,Al Amiorano,Owner,12,1265850,Motion Pictures (Entertainment),7819,Services Allied To Motion Pictures,www.visualefx.biz
Human Service Transportation,915 Housatonic Ave,Bridgeport,CT,06604-2809,Fairfield,Not in Sample,Not in Sample,,,31,0,Social Services (Services),8322,Individual And Family Services,www.peopletoplaces.org
Expressway Courier Inc,36 Mill Plain Rd # 407,Danbury,CT,06811-5114,Fairfield,Not in Sample,Not in Sample,Edward Duffelmeyer,Owner,4,535800,Motor Freight Transportation (Transportation),4212,"Local Trucking, Without Storage",www.expresswaycourier.com
Artists' Market Inc,163 Main St,Norwalk,CT,06851-3710,Fairfield,Not in Sample,Not in Sample,Jeffrey Price,Owner,3,779880,Miscellaneous Retail (Stores),5999,"Miscellaneous Retail Stores, Nec",www.artistsmarket.com
A Plus Universal,120 Porter St,Bridgeport,CT,06606-5440,Fairfield,Not in Sample,Not in Sample,Armine Kellam,President,10,6714960,Wholesale Trade - Durable Goods (Products),5021,Furniture,www.universal-business.com
Coulson Oil Co,PO Box 68,N Little Rock,AR,72115-0068,Pulaski,Not in Sample,Not in Sample,,,5,2227200,Gasoline Service Stations and Automotive Dealers (Automotive),5541,Gasoline Service Stations,
Lasercut Inc,69 Branford Rd,North Branford,CT,06471-1323,New Haven,Not in Sample,Not in Sample,David F Domizi Iii,President,13,3605000,Wholesale Trade - Durable Goods (Products),5063,Electrical Apparatus And Equipment,www.lasercutinc.com
Global Vision Communications,111 High Ridge Rd # 5,Stamford,CT,06905-3813,Fairfield,Not in Sample,Not in Sample,Vincent Perry,Owner,1,322050,Communications (Informative),4841,Cable And Other Pay Television Services,www.dishnetwork.com
Music For Children,32 Main St,Norwalk,CT,06851-4721,Fairfield,Not in Sample,Not in Sample,Mary Ann Hall,Executive Director,12,977680,Educational Services (Services),8299,"Schools And Educational Services, Nec",www.musicforchildren.net
